GCA_009498075.1	36911	Clavispora lusitaniae	P2
GCA_009498055.1	36911	Clavispora lusitaniae	P1
GCA_003675835.1	36911	Clavispora lusitaniae	U03
GCA_003675805.1	36911	Clavispora lusitaniae	U02
GCA_003675795.1	36911	Clavispora lusitaniae	U05
GCA_003675775.1	36911	Clavispora lusitaniae	U06
GCA_003675755.1	36911	Clavispora lusitaniae	U07
GCA_003675725.1	36911	Clavispora lusitaniae	U08
GCA_003675715.1	36911	Clavispora lusitaniae	L09
GCA_003675685.1	36911	Clavispora lusitaniae	L12
GCA_003675665.1	36911	Clavispora lusitaniae	L10
GCA_003675655.1	36911	Clavispora lusitaniae	L11
GCA_003675625.1	36911	Clavispora lusitaniae	L13
GCA_003675615.1	36911	Clavispora lusitaniae	L14
GCA_003675595.1	36911	Clavispora lusitaniae	S18
GCA_003675575.1	36911	Clavispora lusitaniae	L16
GCA_003675535.1	36911	Clavispora lusitaniae	S21
GCA_003675505.1	36911	Clavispora lusitaniae	ATCC 42720
GCA_003675495.1	36911	Clavispora lusitaniae	S20
GCA_003675475.1	36911	Clavispora lusitaniae	U04
GCA_003675455.1	36911	Clavispora lusitaniae	L15
GCA_003675435.1	36911	Clavispora lusitaniae	S19
GCA_001673695.2	36911	Clavispora lusitaniae	CBS 6936
GCF_000003835.1	306902	Clavispora lusitaniae ATCC 42720	ATCC 42720
GCA_000003835.1	306902	Clavispora lusitaniae ATCC 42720	ATCC 42720
GCA_000410855.1	1314667	Clavispora lusitaniae MTCC 1001	MTCC 1001
GCA_003707425.2	77849	[Candida] restingae	NRRL Y-27358
GCA_003705675.1	271274	Kodamaea laetipori	NRRL Y-27713
GCA_004919595.1	34356	Kodamaea ohmeri	
GCA_003708155.1	34356	Kodamaea ohmeri	NRRL Y-1932
GCA_003708755.1	1323752	[Candida] golubevii	NRRL Y-48707
GCA_002893645.1	197672	[Candida] hawaiiana	UWOPS91-698.3
GCA_003708615.1	197672	[Candida] hawaiiana	NRRL Y-27473
GCA_002370145.1	1807681	[Candida] ipomoeae	UWOPS 01-141c3
GCA_002374715.1	1807681	[Candida] ipomoeae	UWOPS 10-104.1
GCA_002370905.1	1807681	[Candida] ipomoeae	UWOPS 99-324.1
GCA_002893725.1	45599	[Candida] torresii	CBS 5152
GCA_003708715.2	560360	[Candida] wancherniae	NRRL Y-48709
GCA_002370615.1	353897	Metschnikowia aberdeeniae	SUB 05-213.1
GCA_002374675.1	353897	Metschnikowia aberdeeniae	UWOPS 07-202.1
GCA_004217705.1	2163413	Metschnikowia aff. pulcherrima	APC 1.2
GCA_003123635.1	2163413	Metschnikowia aff. pulcherrima	UCD127
GCA_008065255.1	56417	Metschnikowia agaves	UWOPS 92-210.1
GCA_008065245.1	56417	Metschnikowia agaves	UWOPS 92-207.1
GCA_008065195.1	2576851	Metschnikowia amazonensis	UFMG-CM-6309
GCA_008065205.1	2576851	Metschnikowia amazonensis	UFMG-CM-6307
GCA_002370875.1	150206	Metschnikowia arizonensis	UWOPS 99-103.4
GCA_002374795.1	150206	Metschnikowia arizonensis	UWOPS 99-103.3.1
GCA_002073855.1	27321	Metschnikowia australis	UFMG-CM-Y6158
GCF_001664035.1	869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	NRRL YB-4993
GCA_001664035.1	869754	Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993	NRRL YB-4993
GCA_003614695.1	27322	Metschnikowia bicuspidata	Baker2002
GCA_002374385.1	73518	Metschnikowia borealis	SUB 99-207.1
GCA_002370855.1	73518	Metschnikowia borealis	UWOPS 96-101.1
GCA_002370295.1	1699426	Metschnikowia bowlesiae	UWOPS 12-619.1
GCA_002374615.1	1699426	Metschnikowia bowlesiae	UWOPS 04-243x5
GCA_002370825.1	1699426	Metschnikowia bowlesiae	UWOPS 12-611.1
